,EVENT-ID,DATE,TIME,LAT(deg),LAT-ERR(km),LON(deg),LON-ERR(km),DEPTH(km),RMS(s),AZ-GAP(deg),N_PHASES,MAG(ML)
173,dias2013sgfx,2013-09-17,13:26:11.409,54.58921,1.558,-7.01385,1.288,0.0,0.292,79.3,33,1.03
174,dias2013sghb,2013-09-17,14:01:16.953,53.42959,1.114,-7.14062,1.377,0.0,0.448,97.9,34,1.25
177,dias2013shzb,2013-09-18,12:15:35.003,54.9628,2.388,-6.4192,1.126,0.0,0.374,127.8,26,1.5
179,dias2013sjqz,2013-09-19,10:26:46.309,52.79503,1.579,-6.97231,1.502,0.0,0.734,89.9,16,0.96
180,dias2013sjte,2013-09-19,11:33:40.592,54.38422,1.495,-6.61315,1.638,0.0,0.718,77.5,17,0.94
181,dias2013sjuw,2013-09-19,12:25:09.772,54.37103,1.055,-7.70441,1.692,0.0,0.352,90.6,24,1.24
182,dias2013sjyc,2013-09-19,14:02:57.065,53.41125,0.995,-6.309,1.368,0.0,0.567,106.4,38,1.36
183,dias2013slpj,2013-09-20,11:54:28.598,54.28704,1.041,-7.44163,1.623,0.0,0.285,87.3,25,1.18
184,dias2013slrw,2013-09-20,13:10:20.975,51.8483,1.298,-8.79037,1.295,0.0,0.335,99.4,24,1.06
185,dias2013slvq,2013-09-20,15:04:18.939,54.21526,0.709,-8.52765,1.407,0.0,0.56,138.8,53,1.35
190,dias2013srgj,2013-09-23,14:10:38.671,53.91507,0.737,-6.71434,1.177,0.0,0.401,80.7,63,1.46
192,dias2013ssvz,2013-09-24,11:12:10.424,54.89599,0.944,-8.19686,0.818,0.0,0.446,69.9,51,1.28
193,dias2013sszp,2013-09-24,13:00:58.834,53.50472,1.047,-6.82677,1.338,0.0,0.477,74.2,30,1.08
194,dias2013sszz,2013-09-24,13:13:07.810,52.3443,2.1,-6.92667,1.562,0.0,0.383,169.0,20,1.13
195,dias2013stbn,2013-09-24,13:59:41.426,52.59357,1.172,-7.17297,1.065,0.0,0.361,69.3,37,1.23
196,dias2013stdn,2013-09-24,15:00:29.624,53.95614,0.773,-6.74092,1.155,0.0,0.556,40.2,61,1.22
197,dias2013suor,2013-09-25,09:46:33.115,54.23627,0.722,-8.22738,1.201,0.0,0.492,74.0,58,1.06
199,dias2013sutd,2013-09-25,12:01:53.545,52.64124,2.009,-6.27192,2.14,0.0,0.439,169.7,18,0.92
200,dias2013suwc,2013-09-25,13:31:47.146,53.69324,1.029,-6.39048,1.481,0.0,0.399,107.0,30,1.04
201,dias2013suxd,2013-09-25,14:02:45.969,52.69476,1.406,-8.86216,1.405,0.0,0.556,120.6,28,1.05
202,dias2013suyf,2013-09-25,14:35:23.871,52.18909,1.335,-8.81212,1.28,0.0,0.341,75.6,26,0.98
203,dias2013swnr,2013-09-26,11:32:56.970,53.21572,1.402,-6.40434,1.169,0.0,0.421,90.6,27,0.92
204,dias2013swpa,2013-09-26,12:13:46.668,53.20623,1.302,-6.49987,0.826,0.0,0.547,92.6,42,1.45
205,dias2013swpy,2013-09-26,12:41:17.573,53.70771,0.854,-8.18822,1.074,0.0,0.443,76.6,44,1.25
206,dias2013swqq,2013-09-26,13:02:05.664,54.39038,0.768,-7.38563,1.594,0.0,0.387,105.7,44,1.36
207,dias2013swqz,2013-09-26,13:13:15.352,54.89279,2.042,-6.98245,1.546,0.0,0.349,123.7,19,0.49
209,dias2013syig,2013-09-27,11:04:51.917,54.55489,1.036,-8.10443,1.678,0.0,0.263,108.7,34,1.02
210,dias2013symo,2013-09-27,13:15:24.846,54.26883,1.494,-6.74224,1.58,0.0,0.444,78.4,21,0.7
212,dias2013syup,2013-09-27,17:19:06.390,52.61636,1.216,-6.98881,1.14,0.0,0.404,85.8,35,1.15
215,dias2013tdww,2013-09-30,12:08:05.881,54.19036,1.141,-6.19058,1.533,0.0,0.421,93.7,30,1.07
216,dias2013tdze,2013-09-30,13:18:40.716,53.49338,1.665,-6.83834,1.612,0.0,0.578,150.3,17,0.93
217,dias2013tdzj,2013-09-30,13:24:36.513,53.90533,1.014,-7.64919,1.325,0.0,0.482,82.2,30,1.07
218,dias2013teax,2013-09-30,14:10:46.268,52.50473,1.317,-8.80718,1.239,0.0,0.574,83.7,26,1.1
219,dias2013tftd,2013-10-01,12:31:44.318,53.83391,0.799,-8.12776,1.029,0.0,0.539,62.4,51,1.47
220,dias2013thpv,2013-10-02,13:07:56.512,54.24371,1.242,-8.49118,2.182,0.0,0.454,128.4,24,1.08
221,dias2013tjfx,2013-10-03,10:23:50.315,53.0947,1.27,-8.80608,1.036,0.0,0.523,96.9,33,1.15
