lon_ev,lat_ev,id-ev,lon-quarry,lat-quarry
-6.92271,52.76945,dias2013nypv,-6.93379,52.7762
-6.92071,52.77528,dias2013yjjb,-6.93379,52.7762
-6.97373,52.80646,dias2013xeaw,-6.983031,52.7964
-6.97208,52.79077,dias2014bedk,-6.983031,52.7964
-6.97057,52.80256,dias2014lxph,-6.983031,52.7964
-6.73444,53.91471,dias2013yfmt,-6.731963,53.9016
-8.83675,52.71059,dias2014xswi,-8.824275,52.7063
-8.79577,51.84389,dias2013mxgm,-8.805961,51.8504
-8.80156,51.83912,dias2013uffl,-8.805961,51.8504
-6.81672,55.0028,dias2013ybyw,-6.825908,54.9923
-6.8235,54.9788,dias2014mrwe,-6.825908,54.9923
-6.62499,54.96746,dias2014rxau,-6.612732,54.969
-6.61808,54.81812,dias2014hzln,-6.604856,54.8175
-6.59581,54.80677,dias2014oyhg,-6.604856,54.8175
-6.6718,54.72178,dias2014kahz,-6.659445,54.7259
-6.78502,55.07785,dias2013yhjd,-6.784343,55.0643
-6.79664,55.0585,dias2014jtdx,-6.784343,55.0643
-8.301,55.0165,dias2013uxnf,-8.313617,55.012
-8.30133,55.0185,dias2014wemq,-8.313617,55.012
-8.11358,54.55743,dias2014ojmy,-8.121558,54.5671
-8.10912,54.56324,dias2014qitw,-8.121558,54.5671
-7.42876,55.10865,dias2013mkmj,-7.440131,55.1163
-7.44853,55.10581,dias2014gozq,-7.440131,55.1163
-7.43612,55.10471,dias2014vrux,-7.440131,55.1163
-7.20398,55.27135,dias2014bqzf,-7.205738,55.2586
-7.87719,54.97621,dias2014tfto,-7.890135,54.9783
-8.085,54.60006,dias2013plel,-8.090259,54.6118
-7.70612,54.98024,dias2014tjhy,-7.713773,54.9912
-5.78993,54.48969,dias2014psju,-5.778011,54.496
-5.77429,54.48383,dias2014tjjd,-5.778011,54.496
-5.78284,54.48354,dias2014yfry,-5.778011,54.496
-5.88822,54.42282,dias2014gzwc,-5.89931,54.4145
-6.22822,54.34418,dias2014goxp,-6.231042,54.3568
-6.20883,54.35793,dias2014pdvm,-6.221279,54.3613
-5.87636,54.49354,dias2013suqg,-5.863787,54.4958
-5.87322,54.48586,dias2014ohzn,-5.863787,54.4958
-5.87705,54.4994,dias2014pudo,-5.863787,54.4958
-5.87776,54.49438,dias2014twem,-5.863787,54.4958
-5.78304,54.57515,dias2014tbzy,-5.784454,54.5628
-5.79667,54.56552,dias2014uiyb,-5.784454,54.5628
-5.79457,54.5701,dias2014wpkq,-5.784454,54.5628
-5.83983,54.35102,dias2014bjzb,-5.841833,54.3377
-6.39907,53.31353,dias2013yjgv,-6.403263,53.3019
-6.39844,53.28966,dias2014sjxf,-6.403263,53.3019
-6.39096,53.29978,dias2014tjmc,-6.403263,53.3019
-6.39918,53.22669,dias2014tfsg,-6.410652,53.2211
-6.40156,53.21293,dias2014xsnn,-6.410652,53.2211
-6.17958,53.43668,dias2014anyg,-6.192666,53.4363
